N,Z,E,U(E),known,A,N-Z,N/Z
28,27,8669.6204,0.0074,1,55,1,1.037037037037037
27,28,8497.3225,0.0128,1,55,-1,0.9642857142857143
26,29,8233.997,2.8284,1,55,-3,0.896551724137931
25,30,7904.0,7.0,0,55,-5,0.8333333333333334
37,19,7663.0,11.0,0,56,18,1.9473684210526316
36,20,8033.1654,4.4579,1,56,16,1.8
35,21,8233.5781,4.6369,1,56,14,1.6666666666666667
34,22,8467.9495,1.7893,1,56,12,1.5454545454545454
33,23,8574.7006,3.1408,1,56,10,1.434782608695652
32,24,8723.2609,0.0103,1,56,8,1.3333333333333333
31,25,8738.3358,0.0052,1,56,6,1.24
30,26,8790.3563,0.0048,1,56,4,1.1538461538461537
29,27,8694.8386,0.0085,1,56,2,1.0740740740740742
28,28,8642.7811,0.0071,1,56,0,1.0
27,29,8355.9907,0.1142,1,56,-2,0.9310344827586207
26,30,8106.0,7.0,0,56,-4,0.8666666666666667
25,31,7707.0,9.0,0,56,-6,0.8064516129032258
38,19,7563.0,11.0,0,57,19,2.0
37,20,7912.0,7.0,0,57,17,1.85
36,21,8158.1666,3.154,1,57,15,1.7142857142857142
35,22,8372.9008,3.6119,1,57,13,1.5909090909090908
34,23,8535.1967,1.4871,1,57,11,1.4782608695652173
33,24,8663.3998,0.0327,1,57,9,1.375
32,25,8736.7146,0.0264,1,57,7,1.28
31,26,8770.2829,0.0047,1,57,5,1.1923076923076923
30,27,8741.8845,0.009,1,57,3,1.1111111111111112
29,28,8670.9364,0.0099,1,57,1,1.0357142857142858
28,29,8503.2646,0.0088,1,57,-1,0.9655172413793104
27,30,8231.0,4.0,0,57,-3,0.9
26,31,7916.0,7.0,0,57,-5,0.8387096774193549
39,19,7437.0,12.0,0,58,20,2.0526315789473686
38,20,7828.0,9.0,0,58,18,1.9
37,21,8054.9436,3.2763,1,58,16,1.7619047619047619
36,22,8307.629,3.161,1,58,14,1.6363636363636365
35,23,8458.156,1.652,1,58,12,1.5217391304347827
34,24,8643.9987,0.0514,1,58,10,1.4166666666666667
33,25,8696.6438,0.0466,1,58,8,1.32
32,26,8792.2534,0.0055,1,58,6,1.2307692307692308
31,27,8738.9719,0.0199,1,58,4,1.1481481481481481
30,28,8732.0621,0.006,1,58,2,1.0714285714285714
29,29,8570.9696,0.0097,1,58,0,1.0
28,30,8395.9467,0.8621,1,58,-2,0.9333333333333333
27,31,8059.0,5.0,0,58,-4,0.8709677419354839
26,32,7770.0,9.0,0,58,-6,0.8125
40,19,7332.0,14.0,0,59,21,2.1052631578947367
39,20,7708.0,10.0,0,59,19,1.95
38,21,7976.4073,4.2312,1,59,17,1.8095238095238095
37,22,8218.0,5.0,0,59,15,1.6818181818181819
36,23,8403.8034,2.3288,1,59,13,1.565217391304348
35,24,8568.5995,0.0114,1,59,11,1.4583333333333333
34,25,8680.9224,0.0395,1,59,9,1.36
33,26,8754.7746,0.0056,1,59,7,1.2692307692307692
32,27,8768.0379,0.0067,1,59,5,1.1851851851851851
31,28,8736.5912,0.006,1,59,3,1.1071428571428572
30,29,8642.0027,0.009,1,59,1,1.0344827586206897
29,30,8473.7802,0.0129,1,59,-1,0.9666666666666667
28,31,8232.0,3.0,0,59,-3,0.9032258064516129
27,32,7924.0,7.0,0,59,-5,0.84375
40,20,7627.0,12.0,0,60,20,2.0
39,21,7873.0,8.0,0,60,18,1.8571428571428572
38,22,8152.7858,4.0054,1,60,16,1.7272727272727273
37,23,8322.8751,3.0324,1,60,14,1.608695652173913
36,24,8540.1876,0.0186,1,60,12,1.5
35,25,8628.1392,0.0388,1,60,10,1.4
34,26,8755.8539,0.0568,1,60,8,1.3076923076923077
33,27,8746.7692,0.0067,1,60,6,1.2222222222222223
32,28,8780.7769,0.0059,1,60,4,1.1428571428571428
31,29,8665.6047,0.0269,1,60,2,1.0689655172413792
30,30,8583.0524,0.0091,1,60,0,1.0
29,31,8327.0,3.0,0,60,-2,0.9354838709677419
28,32,8113.0,5.0,0,60,-4,0.875
27,33,7735.0,7.0,0,60,-6,0.8181818181818182
41,20,7503.0,13.0,0,61,21,2.05
40,21,7794.0,10.0,0,61,19,1.9047619047619047
39,22,8058.0,5.0,0,61,17,1.7727272727272727
38,23,8271.0417,3.8511,1,61,15,1.6521739130434783
37,24,8460.1734,0.0305,1,61,13,1.5416666666666667
36,25,8598.9157,0.0382,1,61,11,1.44
35,26,8703.7686,0.0428,1,61,9,1.3461538461538463
34,27,8756.151,0.0138,1,61,7,1.2592592592592593
33,28,8765.0281,0.0058,1,61,5,1.1785714285714286
32,29,8715.5148,0.0156,1,61,3,1.103448275862069
31,30,8610.3098,0.2606,1,61,1,1.0333333333333334
30,31,8446.4313,0.6228,1,61,-1,0.967741935483871
29,32,8215.0,5.0,0,61,-3,0.90625
28,33,7930.0,5.0,0,61,-5,0.8484848484848485
41,21,7688.0,10.0,0,62,20,1.9523809523809523
40,22,7990.0,6.0,0,62,18,1.8181818181818181
39,23,8187.7565,4.2627,1,62,16,1.6956521739130435
38,24,8427.3871,0.0556,1,62,14,1.5833333333333333
37,25,8538.5002,0.1055,1,62,12,1.48
36,26,8692.8831,0.0451,1,62,10,1.3846153846153846
35,27,8721.3347,0.2996,1,62,8,1.2962962962962963
34,28,8794.5555,0.0069,1,62,6,1.2142857142857142
33,29,8718.0839,0.0103,1,62,4,1.1379310344827587
32,30,8679.3451,0.0099,1,62,2,1.0666666666666667
31,31,8518.6449,0.0103,1,62,0,1.0
30,32,8347.0,2.0,0,62,-2,0.9375
29,33,8049.0,5.0,0,62,-4,0.8787878787878788
42,21,7603.0,11.0,0,63,21,2.0
41,22,7891.0,8.0,0,63,19,1.8636363636363635
40,23,8130.7809,5.3968,1,63,17,1.7391304347826086
39,24,8347.5398,1.1533,1,63,15,1.625
38,25,8505.102,0.0591,1,63,13,1.52
37,26,8631.5499,0.0683,1,63,11,1.4230769230769231
36,27,8717.7972,0.2948,1,63,9,1.3333333333333333
35,28,8763.4955,0.0068,1,63,7,1.25
34,29,8752.1404,0.0068,1,63,5,1.1724137931034482
33,30,8686.2866,0.0248,1,63,3,1.1
32,31,8583.9267,0.0207,1,63,1,1.032258064516129
31,32,8418.7167,0.5914,1,63,-1,0.96875
30,33,8193.0,3.0,0,63,-3,0.9090909090909091
29,34,7917.0,8.0,0,63,-5,0.8529411764705882
42,22,7826.0,9.0,0,64,20,1.9090909090909092
41,23,8045.0,6.0,0,64,18,1.7826086956521738
40,24,8303.5626,4.6866,1,64,16,1.6666666666666667
39,25,8437.4175,0.0553,1,64,14,1.56
38,26,8612.3888,0.0784,1,64,12,1.4615384615384615
37,27,8675.5223,0.3126,1,64,10,1.3703703703703705
36,28,8777.4637,0.0072,1,64,8,1.2857142857142858
35,29,8739.0736,0.0067,1,64,6,1.206896551724138
34,30,8735.9057,0.0101,1,64,4,1.1333333333333333
33,31,8611.6317,0.0223,1,64,2,1.064516129032258
32,32,8528.8243,0.0582,1,64,0,1.0
31,33,8286.0,3.0,0,64,-2,0.9393939393939394
30,34,8075.0,8.0,0,64,-4,0.8823529411764706
43,22,7726.0,11.0,0,65,21,1.9545454545454546
42,23,7981.0,8.0,0,65,19,1.826086956521739
41,24,8218.0,3.0,0,65,17,1.7083333333333333
40,25,8400.6822,0.0573,1,65,15,1.6
39,26,8546.347,0.0786,1,65,13,1.5
38,27,8656.8848,0.032,1,65,11,1.4074074074074074
37,28,8736.2424,0.0074,1,65,9,1.3214285714285714
36,29,8757.0967,0.0099,1,65,7,1.2413793103448276
35,30,8724.266,0.0099,1,65,5,1.1666666666666667
34,31,8662.1601,0.0122,1,65,3,1.096774193548387
33,32,8555.0584,0.0333,1,65,1,1.03125
32,33,8396.2351,1.3041,1,65,-1,0.9696969696969697
31,34,8170.0,5.0,0,65,-3,0.9117647058823529
30,35,7904.0,8.0,0,65,-5,0.8571428571428571
43,23,7894.0,8.0,0,66,20,1.8695652173913044
42,24,8168.0,5.0,0,66,18,1.75
41,25,8331.7986,0.1694,1,66,16,1.64
40,26,8521.7245,0.0621,1,66,14,1.5384615384615385
39,27,8605.9419,0.2117,1,66,12,1.4444444444444444
38,28,8739.5086,0.0212,1,66,10,1.3571428571428572
37,29,8731.473,0.0098,1,66,8,1.2758620689655173
36,30,8759.6335,0.0113,1,66,6,1.2
35,31,8669.3631,0.0166,1,66,4,1.1290322580645162
34,32,8625.4383,0.0364,1,66,2,1.0625
33,33,8468.4034,0.0861,1,66,0,1.0
32,34,8300.0,3.0,0,66,-2,0.9411764705882353
31,35,8014.0,6.0,0,66,-4,0.8857142857142857
44,23,7829.0,9.0,0,67,21,1.9130434782608696
43,24,8079.0,6.0,0,67,19,1.7916666666666667
42,25,8281.0,3.0,0,67,17,1.68
41,26,8449.9359,0.057,1,67,15,1.5769230769230769
40,27,8581.7422,0.0962,1,67,13,1.4814814814814814
39,28,8695.7505,0.0431,1,67,11,1.3928571428571428
38,29,8737.4597,0.0133,1,67,9,1.3103448275862069
37,30,8734.1534,0.0113,1,67,7,1.2333333333333334
36,31,8707.533,0.0176,1,67,5,1.1612903225806452
35,32,8633.0884,0.0645,1,67,3,1.09375
34,33,8530.5685,0.0066,1,67,1,1.0303030303030303
33,34,8369.5344,1.001,1,67,-1,0.9705882352941176
32,35,8148.0,4.0,0,67,-3,0.9142857142857143
31,36,7883.0,6.0,0,67,-5,0.8611111111111112
44,24,8026.0,7.0,0,68,20,1.8333333333333333
43,25,8209.0,4.0,0,68,18,1.72
42,26,8418.0,3.0,0,68,16,1.6153846153846154
41,27,8520.1301,0.0567,1,68,14,1.5185185185185186
40,28,8682.4667,0.0438,1,68,12,1.4285714285714286
39,29,8701.8913,0.0233,1,68,10,1.3448275862068966
38,30,8755.682,0.0115,1,68,8,1.2666666666666666
37,31,8701.2195,0.021,1,68,6,1.1935483870967742
36,32,8688.1371,0.0276,1,68,4,1.125
35,33,8557.7457,0.0271,1,68,2,1.0606060606060606
34,34,8477.0482,0.0073,1,68,0,1.0
33,35,8239.0,4.0,0,68,-2,0.9428571428571428
32,36,8034.0,7.0,0,68,-4,0.8888888888888888
45,24,7939.0,7.0,0,69,21,1.875
44,25,8155.0,6.0,0,69,19,1.76
43,26,8345.0,3.0,0,69,17,1.6538461538461537
42,27,8495.4062,1.242,1,69,15,1.5555555555555556
41,28,8623.0998,0.054,1,69,13,1.4642857142857142
40,29,8695.2044,0.0203,1,69,11,1.3793103448275863
39,30,8722.7311,0.0115,1,69,9,1.3
38,31,8724.5798,0.0174,1,69,7,1.2258064516129032
37,32,8680.964,0.0191,1,69,5,1.15625
36,33,8611.8214,0.4638,1,69,3,1.0909090909090908
35,34,8503.7082,0.0216,1,69,1,1.0294117647058822
34,35,8344.9026,0.6087,1,69,-1,0.9714285714285714
33,36,8129.0,4.0,0,69,-3,0.9166666666666666
46,24,7884.0,9.0,0,70,22,1.9166666666666667
45,25,8084.0,7.0,0,70,20,1.8
44,26,8308.0,4.0,0,70,18,1.6923076923076923
43,27,8434.198,0.157,1,70,16,1.5925925925925926
42,28,8604.2917,0.0306,1,70,14,1.5
41,29,8646.8655,0.0155,1,70,12,1.4137931034482758
40,30,8729.8086,0.0274,1,70,10,1.3333333333333333
39,31,8709.2808,0.0172,1,70,8,1.2580645161290323
38,32,8721.7028,0.0117,1,70,6,1.1875
37,33,8621.5541,0.02,1,70,4,1.121212121212121
36,34,8576.0338,0.0226,1,70,2,1.0588235294117647
35,35,8414.7964,0.2129,1,70,0,1.0
34,36,8256.0,3.0,0,70,-2,0.9444444444444444
46,25,8030.0,7.0,0,71,21,1.84
45,26,8235.0,6.0,0,71,19,1.7307692307692308
44,27,8398.7344,6.5497,1,71,17,1.6296296296296295
43,28,8543.1564,0.0315,1,71,15,1.5357142857142858
42,29,8635.0233,0.021,1,71,13,1.4482758620689655
41,30,8689.0417,0.0374,1,71,11,1.3666666666666667
40,31,8717.605,0.0114,1,71,9,1.2903225806451613
39,32,8703.3118,0.0115,1,71,7,1.21875
38,33,8663.935,0.0586,1,71,5,1.1515151515151516
37,34,8586.0606,0.0394,1,71,3,1.088235294117647
36,35,8481.4629,0.0761,1,71,1,1.0285714285714285
35,36,8327.131,1.8136,1,71,-1,0.9722222222222222
34,37,8118.0,6.0,0,71,-3,0.918918918918919
47,25,7955.0,8.0,0,72,22,1.88
46,26,8195.0,7.0,0,72,20,1.7692307692307692
45,27,8338.0,4.0,0,72,18,1.6666666666666667
44,28,8520.2118,0.0311,1,72,16,1.5714285714285714
43,29,8586.5256,0.0194,1,72,14,1.4827586206896552
42,30,8691.8053,0.0298,1,72,12,1.4
41,31,8687.0893,0.0114,1,72,10,1.3225806451612903
40,32,8731.7459,0.0011,1,72,8,1.25
39,33,8660.3786,0.0567,1,72,6,1.1818181818181819
38,34,8644.4902,0.0272,1,72,4,1.1176470588235294
37,35,8511.3126,0.0142,1,72,2,1.0571428571428572
36,36,8429.3193,0.1113,1,72,0,1.0
35,37,8202.0,7.0,0,72,-2,0.9459459459459459
48,25,7895.0,8.0,0,73,23,1.92
47,26,8121.0,7.0,0,73,21,1.8076923076923077
46,27,8302.0,4.0,0,73,19,1.7037037037037037
45,28,8457.6529,0.0332,1,73,17,1.6071428571428572
44,29,8568.5699,0.0266,1,73,15,1.5172413793103448
43,30,8648.3455,0.0255,1,73,13,1.4333333333333333
42,31,8693.874,0.023,1,73,11,1.3548387096774193
41,32,8705.05,0.0008,1,73,9,1.28125
40,33,8689.6099,0.0528,1,73,7,1.2121212121212122
39,34,8641.5591,0.1017,1,73,5,1.1470588235294117
38,35,8568.0803,0.0923,1,73,3,1.0857142857142856
37,36,8460.1847,0.0901,1,73,1,1.0277777777777777
36,37,8305.0821,0.5588,1,73,-1,0.972972972972973
35,38,8102.0,5.0,0,73,-3,0.9210526315789473
48,26,8076.0,7.0,0,74,22,1.8461538461538463
47,27,8239.0,5.0,0,74,20,1.7407407407407407
46,28,8433.0,3.0,0,74,18,1.6428571428571428
45,29,8521.5633,0.0831,1,74,16,1.5517241379310345
44,30,8642.7547,0.034,1,74,14,1.4666666666666666
43,31,8663.1676,0.0405,1,74,12,1.3870967741935485
42,32,8725.2011,0.0003,1,74,10,1.3125
41,33,8680.002,0.0229,1,74,8,1.2424242424242424
40,34,8687.7155,0.0003,1,74,6,1.1764705882352942
39,35,8583.5615,0.0789,1,74,4,1.1142857142857143
38,36,8533.039,0.0272,1,74,2,1.0555555555555556
37,37,8381.7123,0.0409,1,74,0,1.0
36,38,8221.0,1.0,0,74,-2,0.9473684210526315
49,26,7996.0,8.0,0,75,23,1.8846153846153846
48,27,8197.0,5.0,0,75,21,1.7777777777777777
47,28,8369.0,3.0,0,75,19,1.6785714285714286
46,29,8495.0801,0.0096,1,75,17,1.5862068965517242
45,30,8592.4981,0.0261,1,75,15,1.5
44,31,8660.7565,0.0089,1,75,13,1.4193548387096775
43,32,8695.6096,0.0007,1,75,11,1.34375
42,33,8700.8748,0.0118,1,75,9,1.2727272727272727
41,34,8678.9139,0.001,1,75,7,1.2058823529411764
40,35,8627.6497,0.0571,1,75,5,1.1428571428571428
39,36,8553.4399,0.1081,1,75,3,1.0833333333333333
38,37,8448.2762,0.0157,1,75,1,1.027027027027027
37,38,8296.5116,2.9334,1,75,-1,0.9736842105263158
36,39,8089.0,4.0,0,75,-3,0.9230769230769231
50,26,7943.0,8.0,0,76,24,1.9230769230769231
49,27,8131.0,7.0,0,76,22,1.8148148148148149
48,28,8338.0,4.0,0,76,20,1.7142857142857142
47,29,8443.6018,0.012,1,76,18,1.6206896551724137
46,30,8582.2735,0.0192,1,76,16,1.5333333333333334
45,31,8624.5272,0.0257,1,76,14,1.4516129032258065
44,32,8705.2364,0.0003,1,76,12,1.375
43,33,8682.8172,0.0117,1,76,10,1.303030303030303
42,34,8711.4781,0.0003,1,76,8,1.2352941176470589
41,35,8635.883,0.1227,1,76,6,1.1714285714285715
40,36,8608.8077,0.0528,1,76,4,1.1111111111111112
39,37,8486.2161,0.0123,1,76,2,1.054054054054054
38,38,8393.9294,0.4535,1,76,0,1.0
37,39,8173.0,4.0,0,76,-2,0.9487179487179487
50,27,8082.0,8.0,0,77,23,1.8518518518518519
49,28,8272.0,5.0,0,77,21,1.75
48,29,8411.2501,0.0157,1,77,19,1.6551724137931034
47,30,8530.0037,0.0256,1,77,17,1.5666666666666667
46,31,8613.3907,0.0315,1,77,15,1.4838709677419355
45,32,8671.0293,0.0007,1,77,13,1.40625
44,33,8695.9789,0.022,1,77,11,1.3333333333333333
43,34,8694.6908,0.0008,1,77,9,1.2647058823529411
42,35,8666.8073,0.0365,1,77,7,1.2
41,36,8616.837,0.0254,1,77,5,1.1388888888888888
40,37,8537.3396,0.0169,1,77,3,1.0810810810810811
39,38,8435.9188,0.1028,1,77,1,1.0263157894736843
38,39,8278.0,3.0,0,77,-1,0.9743589743589743
37,40,8075.0,5.0,0,77,-3,0.925
51,27,7997.0,9.0,0,78,24,1.8888888888888888
50,28,8238.0,5.0,0,78,22,1.7857142857142858
49,29,8354.6695,0.1709,1,78,20,1.6896551724137931
48,30,8507.38,0.0249,1,78,18,1.6
47,31,8577.1043,0.0135,1,78,16,1.5161290322580645
46,32,8671.6636,0.0453,1,78,14,1.4375
45,33,8673.876,0.1254,1,78,12,1.3636363636363635
44,34,8717.8072,0.0023,1,78,10,1.2941176470588236
43,35,8661.9594,0.0459,1,78,8,1.2285714285714286
42,36,8661.2385,0.0039,1,78,6,1.1666666666666667
41,37,8558.3512,0.0415,1,78,4,1.1081081081081081
40,38,8500.0971,0.0955,1,78,2,1.0526315789473684
39,39,8349.0,4.0,0,78,0,1.0
38,40,8194.0,5.0,0,78,-2,0.95
51,28,8150.0,6.0,0,79,23,1.8214285714285714
50,29,8320.938,1.3289,1,79,21,1.7241379310344827
49,30,8450.5825,0.0282,1,79,19,1.6333333333333333
48,31,8556.0725,0.0153,1,79,17,1.5483870967741935
47,32,8634.5089,0.4704,1,79,15,1.46875
46,33,8676.6172,0.0674,1,79,13,1.393939393939394
45,34,8695.5923,0.0028,1,79,11,1.3235294117647058
44,35,8687.5956,0.0127,1,79,9,1.2571428571428571
43,36,8657.113,0.0441,1,79,7,1.1944444444444444
42,37,8601.1401,0.0246,1,79,5,1.135135135135135
41,38,8523.8558,0.0939,1,79,3,1.0789473684210527
40,39,8416.7788,1.014,1,79,1,1.0256410256410255
39,40,8267.0,4.0,0,79,-1,0.975
38,41,8066.0,6.0,0,79,-3,0.926829268292683
52,28,8088.0,7.0,0,80,24,1.8571428571428572
51,29,8246.0,4.0,0,80,22,1.7586206896551724
50,30,8423.5457,0.0323,1,80,20,1.6666666666666667
49,31,8508.4545,0.0361,1,80,18,1.5806451612903225
48,32,8627.5707,0.0257,1,80,16,1.5
47,33,8651.2824,0.0417,1,80,14,1.4242424242424243
46,34,8710.8142,0.0118,1,80,12,1.3529411764705883
45,35,8677.6541,0.0124,1,80,10,1.2857142857142858
44,36,8692.9301,0.0087,1,80,8,1.2222222222222223
43,37,8611.676,0.0233,1,80,6,1.162162162162162
42,38,8578.5966,0.0433,1,80,4,1.105263157894737
41,39,8454.2759,0.078,1,80,2,1.0512820512820513
40,40,8365.0,4.0,0,80,0,1.0
39,41,8151.0,5.0,0,80,-2,0.9512195121951219
53,28,8000.0,9.0,0,81,25,1.8928571428571428
52,29,8185.0,4.0,0,81,23,1.793103448275862
51,30,8351.9262,0.0621,1,81,21,1.7
50,31,8483.3576,0.0403,1,81,19,1.6129032258064515
49,32,8580.6587,0.0254,1,81,17,1.53125
48,33,8648.0571,0.0326,1,81,15,1.4545454545454546
47,34,8685.9998,0.0121,1,81,13,1.3823529411764706
46,35,8695.9465,0.0121,1,81,11,1.3142857142857143
45,36,8682.8206,0.0133,1,81,9,1.25
44,37,8645.5139,0.0605,1,81,7,1.1891891891891893
43,38,8587.3545,0.0386,1,81,5,1.131578947368421
42,39,8505.9031,0.0667,1,81,3,1.0769230769230769
41,40,8395.1519,1.1385,1,81,1,1.025
40,41,8248.0,5.0,0,81,-1,0.975609756097561
39,42,8054.0,6.0,0,81,-3,0.9285714285714286
54,28,7935.0,10.0,0,82,26,1.9285714285714286
53,29,8108.0,5.0,0,82,24,1.8275862068965518
52,30,8301.1175,0.0375,1,82,22,1.7333333333333334
51,31,8421.0494,0.0296,1,82,20,1.6451612903225807
50,32,8563.7567,0.0273,1,82,18,1.5625
49,33,8611.4153,0.0455,1,82,16,1.4848484848484849
48,34,8693.1973,0.0057,1,82,14,1.411764705882353
47,35,8682.4953,0.0118,1,82,12,1.3428571428571427
46,36,8710.6754,0.0003,1,82,10,1.2777777777777777
45,37,8647.4275,0.0367,1,82,8,1.2162162162162162
44,38,8635.719,0.0731,1,82,6,1.1578947368421053
43,39,8529.2762,0.0671,1,82,4,1.1025641025641026
42,40,8465.4666,0.0193,1,82,2,1.05
41,41,8312.0,4.0,0,82,0,1.0
40,42,8163.0,5.0,0,82,-2,0.9523809523809523
54,29,8044.0,6.0,0,83,25,1.8620689655172413
53,30,8226.0,4.0,0,83,23,1.7666666666666666
52,31,8372.5756,0.0315,1,83,21,1.6774193548387097
51,32,8504.3462,0.0292,1,83,19,1.59375
50,33,8599.654,0.0337,1,83,17,1.5151515151515151
49,34,8658.556,0.0366,1,83,15,1.4411764705882353
48,35,8693.3852,0.0457,1,83,13,1.3714285714285714
47,36,8695.7295,0.0003,1,83,11,1.3055555555555556
46,37,8675.2193,0.0281,1,83,9,1.2432432432432432
45,38,8638.4076,0.0823,1,83,7,1.1842105263157894
44,39,8573.6571,0.2245,1,83,5,1.1282051282051282
43,40,8488.3997,0.0775,1,83,3,1.075
42,41,8378.9889,1.9528,1,83,1,1.024390243902439
41,42,8234.0,5.0,0,83,-1,0.9761904761904762
40,43,8043.0,6.0,0,83,-3,0.9302325581395349
55,29,7965.0,6.0,0,84,26,1.896551724137931
54,30,8171.0,5.0,0,84,24,1.8
53,31,8307.525,0.3549,1,84,22,1.7096774193548387
52,32,8465.5244,0.0377,1,84,20,1.625
51,33,8547.9385,0.0377,1,84,18,1.5454545454545454
50,34,8658.7935,0.0233,1,84,16,1.4705882352941178
49,35,8671.3294,0.3063,1,84,14,1.4
48,36,8717.4473,0.0003,1,84,12,1.3333333333333333
47,37,8676.2244,0.0261,1,84,10,1.2702702702702702
46,38,8677.5132,0.0148,1,84,8,1.2105263157894737
45,39,8587.7812,0.0512,1,84,6,1.1538461538461537
44,40,8549.0301,0.0655,1,84,4,1.1
43,41,8417.9563,0.0048,1,84,2,1.048780487804878
42,42,8325.0,4.0,0,84,0,1.0
41,43,8120.0,5.0,0,84,-2,0.9534883720930233
55,30,8090.0,6.0,0,85,25,1.8333333333333333
54,31,8253.5687,0.4384,1,85,23,1.7419354838709677
53,32,8401.7689,0.0439,1,85,21,1.65625
52,33,8510.9851,0.0362,1,85,19,1.5757575757575757
51,34,8610.3045,0.0307,1,85,17,1.5
50,35,8673.5926,0.0362,1,85,15,1.4285714285714286
49,36,8698.5633,0.0235,1,85,13,1.3611111111111112
48,37,8697.4416,0.0003,1,85,11,1.2972972972972974
47,38,8675.7193,0.0331,1,85,9,1.236842105263158
46,39,8628.1486,0.2231,1,85,7,1.1794871794871795
45,40,8564.0394,0.0756,1,85,5,1.125
44,41,8473.7117,0.0482,1,85,3,1.0731707317073171
43,42,8361.332,0.1863,1,85,1,1.0238095238095237
42,43,8215.0,5.0,0,85,-1,0.9767441860465116
41,44,8027.0,6.0,0,85,-3,0.9318181818181818
56,30,8032.0,6.0,0,86,26,1.8666666666666667
55,31,8182.0,5.0,0,86,24,1.7741935483870968
54,32,8354.63,5.0907,1,86,22,1.6875
53,33,8456.7215,0.0401,1,86,20,1.606060606060606
52,34,8581.8224,0.0293,1,86,18,1.5294117647058822
51,35,8632.3659,0.0358,1,86,16,1.457142857142857
50,36,8712.0295,0.0003,1,86,14,1.3888888888888888
49,37,8696.9014,0.0023,1,86,12,1.3243243243243243
48,38,8708.4566,0.0003,1,86,10,1.263157894736842
47,39,8638.4293,0.1644,1,86,8,1.205128205128205
46,40,8614.0523,0.0415,1,86,6,1.15
45,41,8502.2231,0.0639,1,86,4,1.0975609756097562
44,42,8434.7175,0.0341,1,86,2,1.0476190476190477
43,43,8280.0,3.0,0,86,0,1.0
42,44,8133.0,5.0,0,86,-2,0.9545454545454546
56,31,8124.0,6.0,0,87,25,1.8064516129032258
55,32,8285.0,3.0,0,87,23,1.71875
54,33,8413.8521,0.0343,1,87,21,1.6363636363636365
53,34,8529.092,0.0258,1,87,19,1.5588235294117647
52,35,8605.9105,0.0364,1,87,17,1.4857142857142858
51,36,8675.284,0.0028,1,87,15,1.4166666666666667
50,37,8710.9843,0.0003,1,87,13,1.3513513513513513
49,38,8705.2363,0.0003,1,87,11,1.2894736842105263
48,39,8674.8451,0.013,1,87,9,1.2307692307692308
47,40,8623.6545,0.0477,1,87,7,1.175
46,41,8551.7579,0.0782,1,87,5,1.1219512195121952
45,42,8462.4243,0.0328,1,87,3,1.0714285714285714
44,43,8347.7449,0.0482,1,87,1,1.0232558139534884
43,44,8201.0,5.0,0,87,-1,0.9772727272727273
57,31,8050.0,6.0,0,88,26,1.8387096774193548
56,32,8236.0,5.0,0,88,24,1.75
55,33,8351.0,2.0,0,88,22,1.6666666666666667
54,34,8495.0045,0.0382,1,88,20,1.588235294117647
53,35,8563.7479,0.036,1,88,18,1.5142857142857142
52,36,8656.8499,0.0296,1,88,16,1.4444444444444444
51,37,8681.1154,0.0018,1,88,14,1.3783783783783783
50,38,8732.5958,0.0003,1,88,12,1.3157894736842106
49,39,8682.5396,0.017,1,88,10,1.2564102564102564
48,40,8666.0339,0.0614,1,88,8,1.2
47,41,8572.4013,0.6569,1,88,6,1.146341463414634
46,42,8523.9087,0.0434,1,88,4,1.0952380952380953
45,43,8389.8338,0.0466,1,88,2,1.0465116279069768
44,44,8298.0,3.0,0,88,0,1.0
43,45,8090.0,5.0,0,88,-2,0.9555555555555556
57,32,8161.0,4.0,0,89,25,1.78125
56,33,8304.0,3.0,0,89,23,1.696969696969697
55,34,8435.2799,0.0419,1,89,21,1.6176470588235294
54,35,8530.7802,0.0367,1,89,19,1.542857142857143
53,36,8614.8158,0.0241,1,89,17,1.4722222222222223
52,37,8664.1895,0.061,1,89,15,1.4054054054054055
51,38,8705.923,0.0011,1,89,13,1.3421052631578947
50,39,8714.011,0.0038,1,89,11,1.2820512820512822
49,40,8673.3865,0.0312,1,89,9,1.225
48,41,8616.8184,0.2655,1,89,7,1.170731707317073
47,42,8544.9851,0.044,1,89,5,1.119047619047619
46,43,8450.5758,0.0429,1,89,3,1.069767441860465
45,44,8340.376,0.2721,1,89,1,1.0227272727272727
44,45,8189.0,4.0,0,89,-1,0.9777777777777777
58,32,8109.0,6.0,0,90,26,1.8125
57,33,8240.0,4.0,0,90,24,1.7272727272727273
56,34,8395.7672,3.6639,1,90,22,1.6470588235294117
55,35,8478.1865,0.0373,1,90,20,1.5714285714285714
54,36,8591.2599,0.0207,1,90,18,1.5
53,37,8631.5262,0.0717,1,90,16,1.4324324324324325
52,38,8696.0043,0.0161,1,90,14,1.368421052631579
51,39,8693.3778,0.0039,1,90,12,1.3076923076923077
50,40,8709.9699,0.0013,1,90,10,1.25
49,41,8633.377,0.0369,1,90,8,1.1951219512195121
48,42,8597.0285,0.0385,1,90,6,1.1428571428571428
47,43,8483.36,0.0114,1,90,4,1.0930232558139534
46,44,8409.7684,0.0414,1,90,2,1.0454545454545454
45,45,8254.0,2.0,0,90,0,1.0
44,46,8113.0,4.0,0,90,-2,0.9565217391304348
58,33,8189.0,4.0,0,91,25,1.7575757575757576
57,34,8334.8382,4.7598,1,91,23,1.6764705882352942
56,35,8441.9242,0.0389,1,91,21,1.6
