N,Z,E,U(E),known,A,N-Z,N/Z
15,7,6378.5347,9.4445,1,22,8,2.142857142857143
14,8,7364.8722,2.5873,1,22,6,1.75
13,9,7624.2954,0.5636,1,22,4,1.4444444444444444
12,10,8080.4656,0.0008,1,22,2,1.2
11,11,7915.6624,0.006,1,22,0,1.0
10,12,7662.7645,0.0072,1,22,-2,0.8333333333333334
9,13,6782.0,18.0,0,22,-4,0.6923076923076923
8,14,6044.0,23.0,0,22,-6,0.5714285714285714
17,6,5077.0,43.0,0,23,11,2.8333333333333335
16,7,6236.6721,18.2856,1,23,9,2.2857142857142856
15,8,7163.4856,5.2918,1,23,7,1.875
14,9,7622.3447,1.4487,1,23,5,1.5555555555555556
13,10,7955.2561,0.0045,1,23,3,1.3
12,11,8111.4936,0.0002,1,23,1,1.0909090909090908
11,12,7901.1229,0.0014,1,23,-1,0.9166666666666666
10,13,7335.7275,0.015,1,23,-3,0.7692307692307693
9,14,6554.0,22.0,0,23,-5,0.6428571428571429
17,7,5887.0,17.0,0,24,10,2.4285714285714284
16,8,7039.6855,6.8698,1,24,8,2.0
15,9,7463.5831,4.0696,1,24,6,1.6666666666666667
14,10,7993.3252,0.0214,1,24,4,1.4
13,11,8063.4882,0.0007,1,24,2,1.1818181818181819
12,12,8260.7103,0.0006,1,24,0,1.0
11,13,7649.5806,0.0095,1,24,-2,0.8461538461538461
10,14,7167.2329,0.8113,1,24,-4,0.7142857142857143
9,15,6165.0,21.0,0,24,-6,0.6
18,7,5613.0,20.0,0,25,11,2.5714285714285716
17,8,6727.8058,6.6034,1,25,9,2.125
16,9,7336.3065,3.8577,1,25,7,1.7777777777777777
15,10,7839.7994,1.1618,1,25,5,1.5
14,11,8101.3979,0.048,1,25,3,1.2727272727272727
13,12,8223.5028,0.0019,1,25,1,1.0833333333333333
12,13,8021.1366,0.0026,1,25,-1,0.9230769230769231
11,14,7480.1109,0.4,1,25,-3,0.7857142857142857
10,15,6794.0,16.0,0,25,-5,0.6666666666666666
18,8,6497.479,6.3442,1,26,10,2.25
17,9,7082.2497,4.1164,1,26,8,1.8888888888888888
16,10,7751.911,0.7088,1,26,6,1.6
15,11,8004.2013,0.1347,1,26,4,1.3636363636363635
14,12,8333.8711,0.0011,1,26,2,1.1666666666666667
13,13,8149.7653,0.0026,1,26,0,1.0
12,14,7924.7083,0.0041,1,26,-2,0.8571428571428571
11,15,7198.0,8.0,0,26,-4,0.7333333333333333
10,16,6525.0,23.0,0,26,-6,0.625
19,8,6185.0,19.0,0,27,11,2.375
18,9,6879.6662,4.4518,1,27,9,2.0
17,10,7520.4151,3.3619,1,27,7,1.7
16,11,7956.9467,0.138,1,27,5,1.4545454545454546
15,12,8263.8525,0.0018,1,27,3,1.25
14,13,8331.5533,0.0018,1,27,1,1.0769230769230769
13,14,8124.342,0.004,1,27,-1,0.9285714285714286
12,15,7661.0894,0.3334,1,27,-3,0.8
11,16,6960.0,15.0,0,27,-5,0.6875
20,8,5988.0,25.0,0,28,12,2.5
19,9,6626.8567,4.2981,1,28,10,2.111111111111111
18,10,7388.3463,4.5024,1,28,8,1.8
17,11,7799.2644,0.3659,1,28,6,1.5454545454545454
16,12,8272.4531,0.0093,1,28,4,1.3333333333333333
15,13,8309.8969,0.0018,1,28,2,1.1538461538461537
14,14,8447.7445,0.0002,1,28,0,1.0
13,15,7907.4842,0.041,1,28,-2,0.8666666666666667
12,16,7478.7911,5.7143,1,28,-4,0.75
11,17,6587.0,18.0,0,28,-6,0.6470588235294118
20,9,6444.0314,18.116,1,29,11,2.2222222222222223
